                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5803,                 4.0441,                 4.2876,                0.00216,                0.15705,                0.00224,                0.00079,                 3.5388,                 4.0427,                 4.1565,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.4434,                  3.712,                 4.1174,                0.00221,                 0.1615,                 0.0025,                0.00083,                 3.5393,                 4.0389,                 4.1475,             0.00054466,             0.00054466,             0.00054466
                      3,                 3.3408,                 3.2317,                 3.8144,                0.00206,                 0.1525,                0.00503,                0.00135,                 3.5382,                  4.146,                 4.2173,               0.000817,               0.000817,               0.000817
                      4,                 3.0537,                 3.0775,                 3.4722,                0.00202,                0.15525,                0.00298,                0.00085,                 3.5588,                 4.3874,                 4.3408,              0.0010837,              0.0010837,              0.0010837
                      5,                 2.8303,                 2.8271,                 3.1874,                0.00262,                0.21825,                0.00229,                 0.0008,                 3.5522,                 4.3722,                 4.3828,              0.0013448,              0.0013448,              0.0013448
                      6,                 2.7714,                 2.6967,                 3.0267,                0.00301,                 0.1888,                0.00482,                 0.0028,                 3.4806,                 4.3009,                 4.3521,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.6874,                 2.5587,                 2.8865,                0.02779,                0.01302,                0.01002,                0.00374,                 3.2776,                 4.0251,                 4.1006,               0.001568,               0.001568,               0.001568
                      8,                 2.5843,                 2.4429,                 2.7778,                 0.0695,                0.13124,                 0.0337,                0.01189,                 2.4709,                 4.4603,                 2.9619,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.4995,                 2.3417,                 2.6712,                 0.0914,                0.11332,                0.03614,                0.01054,                 2.9181,                 3.9834,                 3.2127,               0.001535,               0.001535,               0.001535
                     10,                 2.3726,                 2.1786,                 2.5309,                0.71634,                0.25651,                0.20542,                0.06476,                 2.3313,                 2.7948,                 2.5909,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.3664,                 2.1166,                 2.4691,                0.81096,                0.30078,                0.32213,                0.11633,                 2.1932,                 2.4865,                 2.3896,               0.001502,               0.001502,               0.001502
                     12,                  2.379,                 2.1342,                 2.4891,                0.21965,                0.31928,                0.22331,                0.08293,                 2.1335,                 2.2403,                 2.3063,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.2743,                 1.9712,                 2.3663,                0.82298,                 0.2922,                 0.3305,                0.13736,                 2.0842,                 2.5871,                 2.2445,               0.001469,               0.001469,               0.001469
                     14,                 2.2728,                  1.926,                  2.363,                0.30564,                0.33127,                0.28676,                0.10793,                 2.0717,                 2.1468,                 2.2414,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.2165,                 1.9539,                 2.3518,                0.56178,                0.48315,                0.48853,                0.21615,                 1.9006,                 1.8817,                  2.147,               0.001436,               0.001436,               0.001436
                     16,                 2.1276,                 1.8074,                  2.217,                 0.5358,                0.48023,                0.46912,                0.20374,                 1.9027,                 1.8211,                 2.1254,              0.0014195,              0.0014195,              0.0014195
